" Survey_Key "|" Q46_radio "|" Q47_radio           "|" Q48_radio           "|" Q49_radio           "|" Q50_radio           "|" Q51_radio           "|" Q52_radio           "|" Q53_radio           "|" Q54_radio           "|" ID  "|" instrument      "|" user_id "|" complete "|" complete_date       "|" sess_saved_date     "|" last_page_num "|
|||||||||||||||||
150|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|150|" Parent/Guardian "|61|1|10/16/2006 10:22:00|10/16/2006 10:22:00|15|" "
152|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|152|" Parent/Guardian "|61|1|10/16/2006 10:30:00|10/16/2006 10:29:00|15|" "
154|" No        "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 3 Some progress     "|154|" Parent/Guardian "|61|1|10/16/2006 10:35:00|10/16/2006 10:35:00|15|" "
155|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|155|" Parent/Guardian "|61|1|10/16/2006 10:44:00|10/16/2006 10:44:00|15|" "
156|" Yes       "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|156|" Parent/Guardian "|61|1|10/16/2006 10:50:00|10/16/2006 10:50:00|15|" "
157|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|157|" Parent/Guardian "|61|1|10/16/2006 10:56:00|10/16/2006 10:56:00|15|" "
158|" No        "|" 1 No progress       "|" 3 Some progress     "|" 2 Little progress   "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|158|" Parent/Guardian "|61|1|10/16/2006 11:04:00|10/16/2006 11:03:00|15|" "
159|" Yes       "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|159|" Parent/Guardian "|61|1|10/16/2006 11:13:00|10/16/2006 11:13:00|15|" "
161|" No        "|" 2 Little progress   "|" 2 Little progress   "|" 3 Some progress     "|" 1 No progress       "|" 2 Little progress   "|" 2 Little progress   "|" 2 Little progress   "|" 2 Little progress   "|161|" Parent/Guardian "|61|1|10/16/2006 11:21:00|10/16/2006 11:20:00|15|" "
162|" Yes       "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|162|" Parent/Guardian "|61|1|10/16/2006 11:29:00|10/16/2006 11:28:00|15|" "
164|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|"2 Little Progress"|" 4 A lot of progress "|" 4 A lot of progress "|164|" Parent/Guardian "|61|1|10/16/2006 11:36:00|10/16/2006 11:35:00|15|" "
165|" Yes       "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|165|" Parent/Guardian "|61|1|10/16/2006 11:42:00|10/16/2006 11:41:00|15|" "
168|" No        "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|168|" Parent/Guardian "|61|1|10/16/2006 12:20:00|10/16/2006 12:19:00|15|" "
169|" No        "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 1 No progress       "|" 2 Little progress   "|" 2 Little progress   "|169|" Parent/Guardian "|61|1|10/16/2006 12:25:00|10/16/2006 12:25:00|15|" "
170|" No        "|" 3 Some progress     "|" 4 A lot of progress "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 2 Little progress   "|" 4 A lot of progress "|170|" Parent/Guardian "|61|1|10/16/2006 12:34:00|10/16/2006 12:33:00|15|" "
173|" No        "|" 4 A lot of progress "|" 3 Some progress     "|" 3 Some progress     "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|" 4 A lot of progress "|173|" Parent/Guardian "|61|1|10/16/2006 13:40:00|10/16/2006 12:41:00|15|" "
